time_tag,flux
2025-08-02 10:10:00+00:00,4.133741480227826e-07
2025-08-02 10:20:00+00:00,4.530379570155674e-07
2025-08-02 10:30:00+00:00,4.7679875674333517e-07
2025-08-02 10:40:00+00:00,5.047472400931952e-07
2025-08-02 10:50:00+00:00,6.033808448435707e-07
2025-08-02 11:00:00+00:00,1.2050330374435702e-06
2025-08-02 11:10:00+00:00,1.5159605066372706e-06
2025-08-02 11:20:00+00:00,1.0381617325805337e-06
2025-08-02 11:30:00+00:00,8.715135498604809e-07
2025-08-02 11:40:00+00:00,7.547474169200541e-07
2025-08-02 11:50:00+00:00,6.551650062469605e-07
2025-08-02 12:00:00+00:00,6.670145769049896e-07
2025-08-02 12:10:00+00:00,7.333534422393484e-07
2025-08-02 12:20:00+00:00,7.423985974419623e-07
2025-08-02 12:30:00+00:00,6.608744866021254e-07
2025-08-02 12:40:00+00:00,6.216390432634e-07
2025-08-02 12:50:00+00:00,5.574614599268557e-07
2025-08-02 13:00:00+00:00,5.084043646519376e-07
2025-08-02 13:10:00+00:00,4.967711931591623e-07
2025-08-02 13:20:00+00:00,4.84644152143332e-07
2025-08-02 13:30:00+00:00,5.667576147061482e-07
2025-08-02 13:40:00+00:00,5.312123300793559e-07
2025-08-02 13:50:00+00:00,5.318332902959355e-07
2025-08-02 14:00:00+00:00,5.931354783328402e-07
2025-08-02 14:10:00+00:00,5.325353091834018e-07
2025-08-02 14:20:00+00:00,5.314598163774775e-07
2025-08-02 14:30:00+00:00,5.203653924645834e-07
2025-08-02 14:40:00+00:00,6.229098573840019e-07
2025-08-02 14:50:00+00:00,1.076108351583116e-06
2025-08-02 15:00:00+00:00,1.4431212541410331e-06
2025-08-02 15:10:00+00:00,1.3667137743311742e-06
2025-08-02 15:20:00+00:00,1.1211874308969527e-06
2025-08-02 15:30:00+00:00,8.744314740738446e-07
2025-08-02 15:40:00+00:00,7.173449682262856e-07
2025-08-02 15:50:00+00:00,6.733329838137792e-07
2025-08-02 16:00:00+00:00,6.390943493528311e-07
2025-08-02 16:10:00+00:00,5.572661584185568e-07
2025-08-02 16:20:00+00:00,5.200708720121128e-07
2025-08-02 16:30:00+00:00,5.230008649270701e-07
2025-08-02 16:40:00+00:00,4.923132736589509e-07
2025-08-02 16:50:00+00:00,4.711033044779711e-07
2025-08-02 17:00:00+00:00,4.740993311491692e-07
2025-08-02 17:10:00+00:00,4.738899678891073e-07
2025-08-02 17:20:00+00:00,4.64294036062185e-07
2025-08-02 17:30:00+00:00,8.181781595339999e-07
2025-08-02 17:40:00+00:00,1.0563011224817843e-06
2025-08-02 17:50:00+00:00,6.879584904417868e-07
2025-08-02 18:00:00+00:00,8.321380524201061e-07
2025-08-02 18:10:00+00:00,5.320759141280717e-07
2025-08-02 18:20:00+00:00,5.044934362263831e-07
2025-08-02 18:30:00+00:00,5.96555024667822e-07
2025-08-02 18:40:00+00:00,4.890173843197232e-07
2025-08-02 18:50:00+00:00,5.414535562131562e-07
2025-08-02 19:00:00+00:00,7.7483715674731e-07
2025-08-02 19:10:00+00:00,1.7316267317823986e-06
2025-08-02 19:20:00+00:00,1.2918791536975504e-06
2025-08-02 19:30:00+00:00,9.295114436369544e-07
2025-08-02 19:40:00+00:00,7.552729319293406e-07
2025-08-02 19:50:00+00:00,6.651175710636891e-07
2025-08-02 20:00:00+00:00,6.95790219307213e-07
2025-08-02 20:10:00+00:00,5.776959475234378e-07
2025-08-02 20:20:00+00:00,6.14320477243524e-07
2025-08-02 20:30:00+00:00,5.688178680962608e-07
2025-08-02 20:40:00+00:00,5.044946498777847e-07
2025-08-02 20:50:00+00:00,5.294242643394398e-07
2025-08-02 21:00:00+00:00,5.266703383188798e-07
2025-08-02 21:10:00+00:00,5.075485346228703e-07
2025-08-02 21:20:00+00:00,5.028643236038022e-07
2025-08-02 21:30:00+00:00,5.051750530782329e-07
2025-08-02 21:40:00+00:00,4.85869415811635e-07
2025-08-02 21:50:00+00:00,4.956053465843268e-07
2025-08-02 22:00:00+00:00,5.594604542746851e-07
2025-08-02 22:10:00+00:00,5.19285912226053e-07
2025-08-02 22:20:00+00:00,5.020788751863847e-07
2025-08-02 22:30:00+00:00,5.107231971557269e-07
2025-08-02 22:40:00+00:00,4.841656479293021e-07
2025-08-02 22:50:00+00:00,4.909697939758928e-07
2025-08-02 23:00:00+00:00,4.772667601571356e-07
2025-08-02 23:10:00+00:00,4.902001274231793e-07
2025-08-02 23:20:00+00:00,4.876126213027021e-07
2025-08-02 23:30:00+00:00,4.767129328175912e-07
2025-08-02 23:40:00+00:00,5.085223479195377e-07
2025-08-02 23:50:00+00:00,5.035382423912438e-07
2025-08-03 00:00:00+00:00,6.639928757934399e-07
2025-08-03 00:10:00+00:00,7.818812324700275e-07
2025-08-03 00:20:00+00:00,7.31870440073834e-07
2025-08-03 00:30:00+00:00,6.377595902939958e-07
2025-08-03 00:40:00+00:00,6.759314872262223e-07
2025-08-03 00:50:00+00:00,6.764770459355418e-07
2025-08-03 01:00:00+00:00,6.05294716748972e-07
2025-08-03 01:10:00+00:00,6.312859456514275e-07
2025-08-03 01:20:00+00:00,7.55908899652269e-07
2025-08-03 01:30:00+00:00,7.260936212283298e-07
2025-08-03 01:40:00+00:00,6.981118701787637e-07
2025-08-03 01:50:00+00:00,7.473264433954796e-07
2025-08-03 02:00:00+00:00,1.0102372936415804e-06
2025-08-03 02:10:00+00:00,1.1498846262725237e-06
2025-08-03 02:20:00+00:00,7.507297679509861e-07
2025-08-03 02:30:00+00:00,7.888921100374092e-07
2025-08-03 02:40:00+00:00,2.054555847763595e-06
2025-08-03 02:50:00+00:00,1.5976108379334163e-06
2025-08-03 03:00:00+00:00,1.118628707352798e-06
2025-08-03 03:10:00+00:00,9.300054408356573e-07
2025-08-03 03:20:00+00:00,8.036209088402302e-07
2025-08-03 03:30:00+00:00,7.953025823681514e-07
2025-08-03 03:40:00+00:00,8.28183164980345e-07
2025-08-03 03:50:00+00:00,8.145592232722265e-07
2025-08-03 04:00:00+00:00,7.38763576890733e-07
2025-08-03 04:10:00+00:00,6.496998409932786e-07
2025-08-03 04:20:00+00:00,6.383959924249893e-07
2025-08-03 04:30:00+00:00,7.252656978096184e-07
2025-08-03 04:40:00+00:00,6.711397238845507e-07
2025-08-03 04:50:00+00:00,6.736175279353774e-07
2025-08-03 05:00:00+00:00,6.070156694626406e-07
2025-08-03 05:10:00+00:00,5.952794845054399e-07
2025-08-03 05:20:00+00:00,5.344720450661811e-07
2025-08-03 05:30:00+00:00,5.59963486024273e-07
2025-08-03 05:40:00+00:00,5.822040216596491e-07
2025-08-03 05:50:00+00:00,5.886777062702464e-07
2025-08-03 06:00:00+00:00,5.474759880219615e-07
2025-08-03 06:10:00+00:00,5.472945201256963e-07
2025-08-03 06:20:00+00:00,5.994000765507934e-07
2025-08-03 06:30:00+00:00,6.930906322644148e-07
2025-08-03 06:40:00+00:00,5.607821828901294e-07
2025-08-03 06:50:00+00:00,5.427683505421221e-07
2025-08-03 07:00:00+00:00,5.49929323512277e-07
2025-08-03 07:10:00+00:00,6.981720282572823e-07
2025-08-03 07:20:00+00:00,8.480334312999104e-07
2025-08-03 07:30:00+00:00,7.342910784746693e-07
2025-08-03 07:40:00+00:00,7.87497934595649e-07
2025-08-03 07:50:00+00:00,8.216610463129825e-07
2025-08-03 08:00:00+00:00,9.33349492271418e-07
2025-08-03 08:10:00+00:00,1.0956852710464204e-06
2025-08-03 08:20:00+00:00,1.195382478336171e-06
2025-08-03 08:30:00+00:00,1.055455634269009e-06
2025-08-03 08:40:00+00:00,9.282057455095582e-07
2025-08-03 08:50:00+00:00,9.058645325410452e-07
2025-08-03 09:00:00+00:00,1.3154392615177812e-06
2025-08-03 09:10:00+00:00,1.3052384492340253e-06
2025-08-03 09:20:00+00:00,1.6873977276787856e-06
2025-08-03 09:30:00+00:00,1.5724476352119154e-06
2025-08-03 09:40:00+00:00,1.0829126063427451e-06
2025-08-03 09:50:00+00:00,8.221921464546256e-07
2025-08-03 10:00:00+00:00,6.842023615227788e-07
2025-08-03 10:10:00+00:00,6.248395457042477e-07
2025-08-03 10:20:00+00:00,6.059795857105144e-07
2025-08-03 10:30:00+00:00,5.532991198098359e-07
2025-08-03 10:40:00+00:00,5.170880257421296e-07
2025-08-03 10:50:00+00:00,5.272209393947235e-07
2025-08-03 11:00:00+00:00,4.775306903903598e-07
2025-08-03 11:10:00+00:00,4.783277581799084e-07
2025-08-03 11:20:00+00:00,5.032882292921315e-07
2025-08-03 11:30:00+00:00,5.492240932269965e-07
2025-08-03 11:40:00+00:00,5.486843094981709e-07
2025-08-03 11:50:00+00:00,5.379974090669037e-07
2025-08-03 12:00:00+00:00,5.134103805648493e-07
2025-08-03 12:10:00+00:00,5.122406221413911e-07
2025-08-03 12:20:00+00:00,5.017666107054453e-07
2025-08-03 12:30:00+00:00,5.518591561060049e-07
2025-08-03 12:40:00+00:00,6.375676894876392e-07
2025-08-03 12:50:00+00:00,7.80956736345928e-07
2025-08-03 13:00:00+00:00,6.407288961618463e-07
2025-08-03 13:10:00+00:00,6.69624244942213e-07
2025-08-03 13:20:00+00:00,7.42968081102191e-07
2025-08-03 13:30:00+00:00,8.17001713837584e-07
2025-08-03 13:40:00+00:00,1.2055180743431037e-06
2025-08-03 13:50:00+00:00,8.223257577810727e-06
2025-08-03 14:00:00+00:00,5.6336919016075624e-06
2025-08-03 14:10:00+00:00,2.611060217105887e-06
2025-08-03 14:20:00+00:00,1.384064302101251e-06
2025-08-03 14:30:00+00:00,1.0095928271169896e-06
2025-08-03 14:40:00+00:00,8.977159287937298e-07
2025-08-03 14:50:00+00:00,8.23843034147842e-07
2025-08-03 15:00:00+00:00,8.1804627427573e-07
2025-08-03 15:10:00+00:00,8.648626076634969e-07
2025-08-03 15:20:00+00:00,7.627218038486205e-07
2025-08-03 15:30:00+00:00,6.868011872107616e-07
2025-08-03 15:40:00+00:00,6.617424185506593e-07
2025-08-03 15:50:00+00:00,6.42650815496637e-07
2025-08-03 16:00:00+00:00,6.288815892485644e-07
2025-08-03 16:10:00+00:00,6.044043021180557e-07
2025-08-03 16:20:00+00:00,6.487709532709829e-07
2025-08-03 16:30:00+00:00,7.000363928533204e-07
2025-08-03 16:40:00+00:00,7.705939257363071e-07
2025-08-03 16:50:00+00:00,8.172680495022177e-07
2025-08-03 17:00:00+00:00,9.192054401196969e-07
2025-08-03 17:10:00+00:00,1.7821599278988742e-06
2025-08-03 17:20:00+00:00,1.4142552217322192e-06
2025-08-03 17:30:00+00:00,1.0402772398165895e-06
2025-08-03 17:40:00+00:00,8.292134592302602e-07
2025-08-03 17:50:00+00:00,7.553082500777464e-07
2025-08-03 18:00:00+00:00,6.969638383758082e-07
2025-08-03 18:10:00+00:00,5.868072906256572e-07
2025-08-03 18:20:00+00:00,5.428829001008495e-07
2025-08-03 18:30:00+00:00,5.260062558409829e-07
2025-08-03 18:40:00+00:00,5.581223635253707e-07
2025-08-03 18:50:00+00:00,5.670009496583361e-07
2025-08-03 19:00:00+00:00,5.325649518717058e-07
2025-08-03 19:10:00+00:00,5.434177613672375e-07
2025-08-03 19:20:00+00:00,5.539057893244604e-07
2025-08-03 19:30:00+00:00,7.05232937026068e-07
2025-08-03 19:40:00+00:00,8.383730348171525e-07
2025-08-03 19:50:00+00:00,1.1986980950950964e-06
2025-08-03 20:00:00+00:00,9.010220990646189e-07
2025-08-03 20:10:00+00:00,7.06430318242468e-07
2025-08-03 20:20:00+00:00,7.004191667547843e-07
2025-08-03 20:30:00+00:00,6.536904604281801e-07
2025-08-03 20:40:00+00:00,5.67247397231796e-07
2025-08-03 20:50:00+00:00,6.146356575698064e-07
2025-08-03 21:00:00+00:00,6.072418679892167e-07
2025-08-03 21:10:00+00:00,6.427622295746005e-07
2025-08-03 21:20:00+00:00,6.150704709551036e-07
2025-08-03 21:30:00+00:00,6.975804763165172e-07
2025-08-03 21:40:00+00:00,9.874181694513595e-07
2025-08-03 21:50:00+00:00,3.49497972251811e-06
2025-08-03 22:00:00+00:00,2.8896962035673824e-06
2025-08-03 22:10:00+00:00,1.7714905872878717e-06
2025-08-03 22:20:00+00:00,1.308449479608953e-06
2025-08-03 22:30:00+00:00,1.0679392810075683e-06
2025-08-03 22:40:00+00:00,9.121673064882429e-07
2025-08-03 22:50:00+00:00,8.057785452209032e-07
2025-08-03 23:00:00+00:00,7.378826276216444e-07
2025-08-03 23:10:00+00:00,6.83164876935649e-07
2025-08-03 23:20:00+00:00,6.437205058773543e-07
2025-08-03 23:30:00+00:00,6.813000323901974e-07
2025-08-03 23:40:00+00:00,7.376897537270111e-07
2025-08-03 23:50:00+00:00,8.181809079133018e-07
2025-08-04 00:00:00+00:00,8.217797708098828e-07
2025-08-04 00:10:00+00:00,8.780684899178937e-07
2025-08-04 00:20:00+00:00,1.0831355075069382e-06
2025-08-04 00:30:00+00:00,1.0571048369101278e-06
2025-08-04 00:40:00+00:00,9.887118357809754e-07
2025-08-04 00:50:00+00:00,9.418510451553175e-07
2025-08-04 01:00:00+00:00,8.921057188970849e-07
2025-08-04 01:10:00+00:00,8.552145020601643e-07
2025-08-04 01:20:00+00:00,1.4812273468223224e-06
2025-08-04 01:30:00+00:00,3.0178152485405006e-06
2025-08-04 01:40:00+00:00,1.305703145426662e-06
2025-08-04 01:50:00+00:00,8.658753904100535e-07
2025-08-04 02:00:00+00:00,7.047323509645764e-07
2025-08-04 02:10:00+00:00,7.167780344374819e-07
2025-08-04 02:20:00+00:00,7.432082860248101e-07
2025-08-04 02:30:00+00:00,6.589720598526582e-07
2025-08-04 02:40:00+00:00,6.582930646370499e-07
2025-08-04 02:50:00+00:00,6.298691278772139e-07
2025-08-04 03:00:00+00:00,6.68956877403204e-07
2025-08-04 03:10:00+00:00,7.493399566183001e-07
2025-08-04 03:20:00+00:00,9.63286810851116e-07
2025-08-04 03:30:00+00:00,6.940897455898209e-07
2025-08-04 03:40:00+00:00,6.229286736658679e-07
2025-08-04 03:50:00+00:00,5.967358066127915e-07
2025-08-04 04:00:00+00:00,5.901864472246388e-07
2025-08-04 04:10:00+00:00,6.091353442982949e-07
2025-08-04 04:20:00+00:00,6.718486020851344e-07
2025-08-04 04:30:00+00:00,1.1449208816571854e-06
2025-08-04 04:40:00+00:00,1.6005784537753698e-06
2025-08-04 04:50:00+00:00,6.784745847454588e-06
2025-08-04 05:00:00+00:00,7.722576901869615e-06
2025-08-04 05:10:00+00:00,7.940852702859047e-06
2025-08-04 05:20:00+00:00,5.915646423204635e-06
2025-08-04 05:30:00+00:00,3.3258277952086248e-06
2025-08-04 05:40:00+00:00,1.8094735931839523e-06
2025-08-04 05:50:00+00:00,1.1257023873056937e-06
2025-08-04 06:00:00+00:00,8.431174557621546e-07
2025-08-04 06:10:00+00:00,7.273179426725562e-07
2025-08-04 06:20:00+00:00,7.022884714658062e-07
2025-08-04 06:30:00+00:00,6.85865654492801e-07
2025-08-04 06:40:00+00:00,6.508364688073698e-07
2025-08-04 06:50:00+00:00,6.006276237702224e-07
2025-08-04 07:00:00+00:00,5.616027673127632e-07
2025-08-04 07:10:00+00:00,5.410522863513733e-07
2025-08-04 07:20:00+00:00,5.353973524080402e-07
2025-08-04 07:30:00+00:00,5.840004588364423e-07
2025-08-04 07:40:00+00:00,5.083094382962728e-07
2025-08-04 07:50:00+00:00,5.025423066573609e-07
2025-08-04 08:00:00+00:00,5.222684706041036e-07
2025-08-04 08:10:00+00:00,5.14141349983177e-07
2025-08-04 08:20:00+00:00,5.096335058185631e-07
2025-08-04 08:30:00+00:00,5.05781548554296e-07
2025-08-04 08:40:00+00:00,5.569094133406338e-07
2025-08-04 08:50:00+00:00,5.144058779604777e-07
2025-08-04 09:00:00+00:00,4.893189893051542e-07
2025-08-04 09:10:00+00:00,4.545657350918386e-07
2025-08-04 09:20:00+00:00,4.4463589118914904e-07
2025-08-04 09:30:00+00:00,4.4159886264383275e-07
2025-08-04 09:40:00+00:00,4.458151376507402e-07
2025-08-04 09:50:00+00:00,4.470809869205894e-07
2025-08-04 10:00:00+00:00,4.4123839479937035e-07
2025-08-04 10:10:00+00:00,4.63678817208546e-07
2025-08-04 10:20:00+00:00,4.7259987969727744e-07
2025-08-04 10:30:00+00:00,6.386412908732097e-07
2025-08-04 10:40:00+00:00,1.753438906959559e-06
2025-08-04 10:50:00+00:00,2.7006828304365625e-06
2025-08-04 11:00:00+00:00,2.5228697538182134e-06
2025-08-04 11:10:00+00:00,2.117135365864442e-06
2025-08-04 11:20:00+00:00,1.7611290932251222e-06
2025-08-04 11:30:00+00:00,1.4980209360970776e-06
2025-08-04 11:40:00+00:00,1.2689697932444233e-06
2025-08-04 11:50:00+00:00,1.095106003390356e-06
2025-08-04 12:00:00+00:00,9.462812487370797e-07
2025-08-04 12:10:00+00:00,8.287678600282788e-07
2025-08-04 12:20:00+00:00,7.833367065224195e-07
2025-08-04 12:30:00+00:00,8.488748340695907e-07
2025-08-04 12:40:00+00:00,9.042732045827506e-07
2025-08-04 12:50:00+00:00,1.0349407698839742e-06
2025-08-04 13:00:00+00:00,8.282091979339156e-07
2025-08-04 13:10:00+00:00,7.277216800716246e-07
2025-08-04 13:20:00+00:00,7.738462233675136e-07
2025-08-04 13:30:00+00:00,8.761689828773456e-07
2025-08-04 13:40:00+00:00,8.964349685669504e-07
2025-08-04 13:50:00+00:00,7.484742522656518e-07
2025-08-04 14:00:00+00:00,6.855513165149318e-07
2025-08-04 14:10:00+00:00,8.400677943498635e-07
2025-08-04 14:20:00+00:00,8.870132750971038e-07
2025-08-04 14:30:00+00:00,7.680208825355806e-07
2025-08-04 14:40:00+00:00,6.20035385701101e-07
2025-08-04 14:50:00+00:00,5.588061176453607e-07
2025-08-04 15:00:00+00:00,8.452922736879032e-07
2025-08-04 15:10:00+00:00,6.826383248004219e-07
2025-08-04 15:20:00+00:00,5.790643833325504e-07
2025-08-04 15:30:00+00:00,4.689333670260254e-07
2025-08-04 15:40:00+00:00,4.4242730867782853e-07
2025-08-04 15:50:00+00:00,4.620126238030764e-07
2025-08-04 16:00:00+00:00,4.690889214176153e-07
2025-08-04 16:10:00+00:00,4.6864451608286117e-07
2025-08-04 16:20:00+00:00,4.808119227650564e-07
2025-08-04 16:30:00+00:00,4.917724930830758e-07
2025-08-04 16:40:00+00:00,5.189193033494632e-07
2025-08-04 16:50:00+00:00,5.73259357317113e-07
2025-08-04 17:00:00+00:00,6.739858073423477e-07
2025-08-04 17:10:00+00:00,6.460358672910615e-07
2025-08-04 17:20:00+00:00,6.51861043809987e-07
2025-08-04 17:30:00+00:00,6.386702964711332e-07
2025-08-04 17:40:00+00:00,6.826262346493195e-07
2025-08-04 17:50:00+00:00,6.316079698365229e-07
